Player,Bowen,Clay,Cockcroft,Dopp,Karabell,Loza,Moody,Yates,AVG
Austin Ekeler,2,1,2,1,1,1,2,1,1.4
Christian McCaffrey,1,2,1,2,2,2,1,2,1.6
Saquon Barkley,4,4,3,3,4,4,4,4,3.8
Bijan Robinson,3,3,4,4,5,3,6,3,3.9
Derrick Henry,5,5,5,5,3,6,7,6,5.3
Tony Pollard,7,6,7,6,7,8,3,7,6.4
Nick Chubb,8,7,6,7,6,5,5,8,6.5
Josh Jacobs,6,8,8,8,9,7,8,5,7.4
Travis Etienne Jr.,9,10,9,9,8,9,11,9,9.3
Joe Mixon,11,9,10,10,10,10,12,10,10.3
Aaron Jones,10,13,11,12,11,13,13,11,11.8
Najee Harris,12,11,13,13,13,11,10,12,11.9
Rhamondre Stevenson,13,14,12,11,12,12,9,13,12
Jahmyr Gibbs,14,12,14,14,14,14,15,14,13.9
Kenneth Walker III,15,21,15,17,15,15,18,16,16.5
James Conner,16,20,16,18,16,16,20,15,17.1
Breece Hall,17,16,21,15,22,20,14,18,17.9
Alexander Mattison,18,22,20,16,17,17,16,19,18.1
Dameon Pierce,19,15,17,20,18,22,19,20,18.8
Rachaad White,20,17,22,19,19,18,21,21,19.6
Miles Sanders,21,19,19,21,28,19,17,17,20.1
Alvin Kamara,23,18,23,22,24,21,26,22,22.4
Jonathan Taylor,22,25,26,27,23,23,24,25,24.4
Cam Akers,24,26,24,28,20,29,23,29,25.4
J.K. Dobbins,27,29,18,31,25,26,22,26,25.5
Isiah Pacheco,25,28,28,24,21,24,29,27,25.8
James Cook,29,23,27,25,29,25,28,24,26.3
David Montgomery,26,27,29,23,27,28,27,23,26.3
Javonte Williams,30,24,25,26,30,30,25,30,27.5
Dalvin Cook,28,30,30,30,35,27,30,31,30.1
D'Andre Swift,31,33,35,29,26,31,31,28,30.5
AJ Dillon,32,32,31,32,32,32,36,32,32.4
Khalil Herbert,33,31,33,35,33,33,32,42,34
Brian Robinson Jr.,34,34,32,36,37,34,34,34,34.4
Antonio Gibson,38,35,34,33,44,36,33,33,35.8
Samaje Perine,39,38,36,34,36,37,35,37,36.5
Jamaal Williams,37,36,39,39,31,38,37,38,36.9
Rashaad Penny,35,39,37,38,40,35,40,36,37.5
Raheem Mostert,36,37,38,45,38,39,39,35,38.4
Zach Charbonnet,40,41,40,37,39,40,38,40,39.4
Jerick McKinnon,42,40,41,43,34,43,42,44,41.1
Ezekiel Elliott,43,44,42,41,45,41,43,39,42.3
Damien Harris,41,50,47,42,NR,44,41,41,44.6
Devin Singletary,45,42,44,44,49,42,49,46,45.1
Elijah Mitchell,46,43,45,46,46,45,45,47,45.4
Jaylen Warren,48,45,43,49,48,48,46,50,47.1
Jeff Wilson Jr.,44,NR,NR,40,NR,NR,47,43,47.3
De'Von Achane,49,48,48,NR,NR,47,44,45,47.9
Tyler Allgeier,47,46,46,47,50,49,50,48,47.9
Chuba Hubbard,50,NR,49,48,41,50,NR,49,48.6
